Car Brand,Mileage (km),Year of Make,Price (USD)
Lexus,7962,2013,23010
Lexus,139364,2017,14900
Audi,146640,2022,26615
Audi,32088,2005,30058
Audi,139723,2015,41901
Lexus,87999,2006,40719
Lexus,63969,2017,24750
Audi,23245,2016,24611
Lexus,102307,2012,27459
Lexus,87451,2007,23910
Lexus,115873,2008,24042
Lexus,127010,2008,10376
Audi,131148,2020,44758
Audi,105053,2010,43404
Audi,42902,2005,26972
Lexus,103272,2011,24663
Lexus,56534,2019,11536
Lexus,109105,2019,40471
Audi,106951,2023,32372
Lexus,45556,2020,43879
Lexus,121962,2023,45948
Audi,44754,2014,27855
Audi,23229,2005,10916
Audi,16661,2018,49043
Lexus,135591,2019,25048
Lexus,6579,2009,29096
Audi,7789,2014,23973
Audi,63641,2011,33046
Audi,71724,2017,38003
Lexus,31776,2010,44753
Audi,141492,2005,20287
Audi,56726,2017,36542
Lexus,94582,2018,22556
Lexus,114192,2023,36872
Lexus,136943,2015,39108
Lexus,118734,2015,16433
Lexus,24373,2009,26178
Audi,99408,2008,20855
Lexus,68851,2020,16162
Lexus,14654,2010,16413
Lexus,148739,2020,38413
Audi,146664,2015,45185
Audi,123453,2005,41732
Audi,110950,2023,43728
Lexus,108032,2014,49996
Audi,82403,2020,10188
Lexus,76863,2018,20671
Lexus,80889,2010,40612
Lexus,111327,2015,44732
Audi,84877,2005,43776
Lexus,74048,2018,38266
Lexus,44857,2023,27155
Audi,13503,2017,13040
Lexus,25071,2021,11862
Lexus,50318,2008,19413
Lexus,95039,2014,48484
Lexus,88730,2016,11263
Lexus,97181,2018,48571
Audi,102846,2022,29323
Lexus,69424,2018,29281
Audi,93823,2007,41653
Lexus,83241,2019,38795
Lexus,77459,2021,23547
Audi,104899,2009,12593
Audi,137072,2012,16395
Lexus,140058,2005,27195
Audi,87655,2023,14478
Audi,63819,2020,41407
Lexus,70216,2012,39768
Audi,132322,2016,49658
Lexus,118467,2011,45969
Audi,16838,2017,41911
Audi,140033,2018,22380
Audi,147385,2022,29361
Audi,86229,2013,46148
Lexus,95171,2011,18293
Lexus,113063,2023,18012
Audi,7286,2023,40220
Lexus,112798,2014,14821
Audi,63226,2009,49838
Lexus,43434,2020,31976
Audi,64172,2020,31424
Audi,115258,2019,39518
Audi,25276,2016,15092
Audi,133621,2021,47493
Audi,9029,2019,46059
Lexus,10729,2022,23231
Lexus,86579,2019,33703
Lexus,107145,2021,29072
Audi,100358,2009,25473
Audi,87302,2005,41312
Lexus,136931,2010,34732
Audi,60066,2022,23762
Audi,88373,2010,34589
Lexus,115559,2018,46438
Lexus,116469,2012,18132
Audi,130032,2017,22057
Audi,91900,2022,41146
Lexus,118196,2012,25451
Audi,135150,2015,46084
Lexus,57327,2018,40451
Audi,119994,2023,35048
Audi,97152,2021,15595
Lexus,87503,2013,26223
Audi,118911,2010,32577
Lexus,146557,2023,47370
Lexus,100248,2019,39259
Audi,84018,2023,34452
Audi,146084,2018,21492
Lexus,38281,2010,14705
Audi,24967,2023,19920
Lexus,14281,2022,49920
Audi,92666,2005,41070
Audi,72425,2005,15099
Lexus,130779,2019,13176
Lexus,44169,2012,18461
Lexus,92500,2022,22753
Lexus,11161,2020,11082
Audi,90121,2022,42894
Audi,122031,2017,13859
Lexus,7377,2015,14755
Lexus,49262,2017,20319
Audi,36310,2005,46615
Audi,144458,2023,49999
Audi,70298,2016,11561
Lexus,70356,2005,34103
Audi,116741,2018,11096
Audi,103506,2008,28700
Audi,10154,2023,19143
Audi,59119,2016,29449
Lexus,149519,2018,29912
Lexus,37805,2022,26854
Lexus,104402,2017,48342
Audi,64908,2011,48764
Lexus,74782,2006,41464
Lexus,131697,2013,14318
Lexus,53149,2018,28250
Audi,36420,2007,22579
Audi,102019,2022,44478
Audi,52816,2015,19835
Audi,45373,2023,43738
Lexus,59795,2018,13724
Lexus,148647,2015,41905
Audi,95921,2010,27014
Audi,53442,2015,24200
Audi,133649,2018,36499
Audi,146645,2022,29296
Audi,17285,2023,33993
Audi,102719,2012,24064
Lexus,128270,2020,20632
Audi,122730,2019,18962
Audi,69013,2013,20705
Audi,70061,2011,28008
Audi,52513,2012,31514
Lexus,43925,2015,24682
Lexus,134295,2011,22381
Lexus,31141,2021,47080
Audi,132742,2016,17769
Lexus,112214,2021,17696
Lexus,62565,2020,16215
Lexus,108053,2010,30881
Audi,13865,2009,44754
Lexus,25616,2016,26453
Lexus,96618,2023,31534
Audi,100124,2014,44523
Audi,102079,2009,46492
Lexus,114964,2013,27630
Lexus,126149,2011,38672
Audi,5074,2018,34126
Lexus,140274,2013,25201
Audi,96613,2022,42322
Lexus,38443,2020,28198
Audi,14494,2010,10612
Audi,81561,2018,21337
Lexus,148196,2013,48813
Audi,124410,2008,18913
Audi,123516,2022,42999
Audi,58020,2005,30992
Lexus,17521,2021,39506
Audi,137664,2010,33242
Lexus,127437,2008,19050
Lexus,104008,2013,47200
Audi,11685,2011,18489
Audi,54186,2010,35155
Audi,45510,2021,25493
Lexus,5345,2015,46294
Lexus,141345,2013,41605
Lexus,31736,2021,25412
Lexus,101767,2012,34301
Audi,115079,2018,41637
Lexus,29510,2020,17284
Audi,8597,2016,17733
Lexus,126547,2006,29719
Audi,10971,2007,33480
Audi,90380,2017,42308
Lexus,103665,2020,48366
Lexus,65009,2012,14101
Lexus,71887,2015,12323
Lexus,109618,2018,20826
Lexus,68913,2009,18338
Lexus,40885,2008,36178
Audi,95823,2008,33977
Audi,65448,2018,25036
Lexus,25374,2019,13095
Audi,28133,2006,22496
Lexus,21405,2007,28841
Audi,97173,2011,48797
Audi,60822,2023,40588
Audi,20225,2020,18472
Audi,21868,2005,17806
Audi,84486,2009,19469
Audi,145020,2022,31681
Audi,20504,2011,29453
Audi,28052,2008,41716
Audi,117017,2018,11903
Audi,60517,2005,41698
Audi,60844,2016,40754
Audi,27138,2012,11108
Lexus,93425,2023,47642
Audi,90756,2010,46044
Lexus,119613,2020,48464
Audi,21606,2010,33649
Lexus,72988,2017,17990
Lexus,141497,2014,38765
Lexus,120167,2007,39989
Lexus,7069,2019,38089
Audi,24401,2020,18471
Lexus,126830,2006,15451
Audi,50372,2009,43155
Lexus,127859,2005,19102
Lexus,144715,2023,37532
Lexus,109987,2010,19268
Lexus,40244,2010,16689
Lexus,94201,2014,13222
Audi,127776,2006,16849
Audi,16470,2022,33042
Lexus,30354,2017,24409
Audi,122955,2014,25795
Lexus,30225,2017,16931
Lexus,6453,2011,43985
Audi,120121,2012,20161
Lexus,68499,2023,35204
Audi,67800,2010,46024
Audi,70437,2012,39360
Audi,134329,2010,30730
Audi,72621,2016,20880
Lexus,8660,2017,16616
Lexus,125966,2022,24893
Audi,78946,2016,46972
Lexus,84094,2009,40885
Audi,103077,2023,21357
Audi,75789,2011,34916
Lexus,145540,2013,16391
Lexus,33014,2015,47923
Lexus,61027,2019,25371
Lexus,87794,2018,37518
Lexus,55530,2020,21563
Audi,16617,2007,12001
Lexus,98727,2019,29739
Audi,73325,2018,49492
Lexus,71776,2013,26715
Lexus,27400,2006,39887
Lexus,11674,2014,20571
Lexus,100090,2011,27180
Audi,76672,2020,13953
Audi,41233,2010,13081
Audi,27322,2017,43074
Lexus,83366,2010,19886
Audi,18494,2013,18020
Lexus,142956,2021,29139
Lexus,99498,2009,42548
Audi,83135,2006,25097
Lexus,107682,2010,43940
Audi,73471,2006,35932
Lexus,55696,2013,42501
Lexus,107038,2008,46716
Lexus,30419,2014,21387
Lexus,92746,2018,46663
Lexus,125374,2009,49401
Audi,21237,2013,34847
Audi,75257,2007,30356
Lexus,110151,2008,35323
Lexus,70975,2007,22927
Lexus,8783,2011,20871
Audi,36515,2007,35915
Audi,52395,2019,39134
Audi,35893,2011,48184
Audi,106643,2006,15548
Audi,28729,2018,11035
Audi,63344,2021,35410
Audi,64651,2017,44237
Lexus,121288,2010,14961
Audi,11406,2009,14272
Lexus,125930,2007,25644
Audi,15651,2016,41949
Audi,142987,2016,48257
Lexus,57135,2020,14642
Lexus,28012,2013,21001
Lexus,54043,2014,19687
Lexus,144796,2014,28578
Lexus,18194,2020,49574
Lexus,107118,2016,39020
Lexus,34067,2019,45709
Lexus,75163,2020,25443
Audi,121440,2021,30141
Lexus,90582,2015,11567
Audi,82217,2011,13394
Audi,14018,2008,18636
Audi,142161,2009,38829
Lexus,57612,2021,13051
Lexus,72790,2018,33949
Audi,45520,2023,39798
Audi,114443,2017,23921
Lexus,142405,2009,27968
Audi,76280,2005,17399
Lexus,28470,2013,24926
Lexus,86236,2021,41067
Lexus,43126,2012,27612
Lexus,77771,2023,35312
Audi,52358,2021,46487
Lexus,15711,2011,18789
Lexus,22716,2016,14337
Lexus,43569,2015,43081
Lexus,59148,2022,28449
Audi,22068,2012,21381
Audi,84356,2021,21177
Lexus,62226,2007,43118
Lexus,25333,2022,23791
Audi,104717,2013,48512
Lexus,30865,2009,20309
Audi,117221,2011,38324
Lexus,130111,2008,22089
Lexus,115137,2009,42825
Lexus,31583,2022,44289
Lexus,125381,2016,49798
Audi,41504,2012,46603
Audi,37033,2009,19511
Audi,58758,2009,11521
Audi,148918,2010,13460
Lexus,119201,2010,14715
Audi,95361,2017,47392
Audi,69366,2019,17990
Lexus,29893,2022,10351
Lexus,139622,2011,13104
Lexus,53906,2007,44230
Audi,19878,2020,25815
Lexus,71295,2022,44511
Lexus,95129,2014,35806
Audi,134690,2007,46037
Lexus,16214,2022,32067
Lexus,96270,2017,17957
Lexus,56113,2020,24907
Lexus,15870,2014,36688
Audi,24625,2023,24285
Lexus,75330,2008,33245
Audi,99670,2023,31319
Lexus,25476,2020,40394
Lexus,138810,2006,41783
Lexus,122366,2011,34227
Lexus,33804,2013,18302
Lexus,33392,2005,30624
Audi,144015,2007,24175
Lexus,106430,2009,43864
Audi,96453,2017,41314
Lexus,58785,2017,49137
Lexus,32219,2022,24962
Lexus,107414,2023,26243
Lexus,77061,2009,20882
Lexus,17872,2022,20824
Lexus,11041,2005,30691
Audi,52883,2015,27027
Lexus,9634,2011,10171
Lexus,141908,2023,21451
Lexus,121426,2021,22550
Audi,41888,2017,32969
Lexus,36502,2016,30364
Audi,89837,2009,38117
Lexus,115701,2016,23321
Audi,65356,2009,33147
Lexus,89586,2009,25661
Lexus,28515,2008,41908
Audi,83228,2012,22639
Audi,87892,2006,32544
Lexus,58256,2008,14948
Audi,138941,2015,18084
Lexus,5888,2016,33975
Lexus,20152,2006,15301
Audi,129448,2012,47126
Lexus,94326,2008,16900
Audi,70595,2018,40288
Audi,133253,2007,49993
Lexus,24438,2005,40531
Audi,45027,2018,10394
Lexus,6950,2005,21522
Lexus,102068,2011,40410
Audi,45405,2018,12440
Audi,44027,2016,12407
Lexus,126407,2006,13996
Audi,80189,2022,10496
Audi,101094,2010,29104
Audi,39130,2005,43429
Lexus,14712,2021,12982
Audi,141862,2007,20333
Audi,52278,2008,23777
Lexus,135323,2018,13081
Audi,112208,2016,27481
Audi,142034,2016,10907
Audi,86619,2012,19162
Audi,97643,2009,16329
Audi,74336,2021,49887
Audi,128133,2013,32227
Audi,74473,2005,17018
Audi,145445,2007,45437
Audi,56534,2012,21468
Lexus,98863,2015,47558
Audi,35027,2023,23155
Lexus,94252,2021,38045
Audi,117766,2011,43400
Audi,66006,2021,14779
Lexus,104117,2014,30570
Audi,49137,2012,31232
Lexus,83404,2012,32497
Audi,94984,2022,48325
Audi,55871,2011,42639
Lexus,148591,2011,44869
Audi,86110,2019,44730
Lexus,78371,2011,32833
Lexus,74615,2016,25997
Audi,94703,2012,21575
Lexus,46611,2018,44161
Audi,21911,2005,42642
Audi,134026,2021,36579
Audi,35281,2007,26476
Audi,89226,2020,48805
Lexus,65577,2012,48060
Audi,47420,2019,45264
Audi,126261,2023,21204
Audi,70928,2017,19631
Lexus,29774,2021,33282
Audi,137891,2008,17147
Audi,28960,2006,48433
Audi,46488,2018,49343
Lexus,25750,2013,40232
Audi,40140,2014,20545
Lexus,88076,2005,38534
Audi,40290,2018,31428
Audi,137016,2006,22050
Lexus,23608,2022,32280
Audi,111163,2014,22457
Lexus,103532,2012,14507
Lexus,106013,2005,44718
Audi,93233,2007,10113
Audi,108057,2022,30723
Audi,26104,2012,42245
Lexus,148071,2020,28130
Audi,100658,2015,42822
Lexus,111937,2010,39154
Audi,147039,2019,15171
Lexus,136588,2019,31320
Audi,84932,2018,45376
Audi,18245,2023,25341
Audi,49220,2021,32276
Audi,77161,2019,40479
Lexus,125020,2019,23839
Lexus,68305,2006,13046
Audi,97202,2020,25799
Lexus,107098,2021,39002
Lexus,118352,2016,20737
Lexus,38315,2020,23106
Audi,34996,2021,46470
Audi,29311,2016,12386
Audi,14289,2006,36706
Lexus,94081,2023,48413
Lexus,118559,2008,33508
Lexus,91969,2014,27485
Lexus,133460,2012,15040
Audi,38932,2020,32926
Audi,103944,2015,33947
Audi,56613,2012,31430
Lexus,136093,2008,41194
Audi,46740,2015,44124
Audi,145192,2021,45037
Audi,137744,2012,49177
Lexus,120674,2023,25594
Lexus,87490,2023,29162
Lexus,117563,2006,30466
Audi,78968,2008,36975
Lexus,62111,2012,17313
Lexus,41756,2014,38703
Audi,24957,2014,16744
Lexus,48381,2005,26599
Lexus,48039,2016,40375
Audi,51527,2021,43294
Lexus,123605,2013,49265
Audi,58148,2013,43722
Lexus,127680,2016,15350
Lexus,71804,2013,27575
Lexus,84958,2016,25293
Lexus,77210,2017,45971
Audi,32278,2016,49895
Audi,88959,2011,17276
Audi,84018,2013,24860
Audi,99969,2022,43469
Audi,11445,2014,26412
Lexus,61910,2012,47287
Lexus,138927,2020,14377
Lexus,128843,2011,19825
Lexus,86260,2005,41093
Lexus,55925,2016,23613
Lexus,59734,2022,26941
Audi,89514,2008,19127
Audi,15063,2016,25388
Lexus,32240,2014,19954
Audi,51806,2005,17869
Lexus,14002,2005,10996
Lexus,84025,2008,49001
Lexus,42333,2010,47649
Lexus,5962,2006,34222
Lexus,28120,2006,49501
Lexus,55130,2023,13171
Lexus,80221,2016,34497
Audi,33640,2005,49952
Lexus,38171,2014,35726
Lexus,91493,2007,22360
Lexus,87892,2013,39542
Audi,102572,2011,48947
Audi,26569,2014,44998
Lexus,54929,2008,31602
Lexus,29119,2021,28423
Audi,73894,2008,12301
Lexus,81668,2008,43448
Lexus,55879,2023,38837
Audi,37837,2021,21048
Lexus,115179,2015,25414
Lexus,25030,2019,33318
Audi,112106,2020,14464
Lexus,11187,2017,34909
Audi,34038,2012,22383
Lexus,71439,2009,20168
Audi,90607,2019,46932
Lexus,62901,2012,13541
Audi,70951,2011,43331
Audi,19438,2007,42094
Audi,75139,2006,22154
Lexus,76144,2021,44002
Lexus,140642,2006,26529
Lexus,110073,2011,11937
Lexus,122579,2011,25366
Audi,104099,2011,29213
Lexus,94337,2019,12438
Lexus,69301,2006,14885
Lexus,64687,2007,37068
Lexus,83914,2008,42561
Lexus,111448,2005,39239
Audi,57192,2021,20384
Lexus,13303,2011,32335
Lexus,132199,2007,19193
Audi,48145,2012,26940
Audi,11728,2022,42079
Audi,112835,2007,32098
Audi,29918,2016,29355
Audi,11753,2015,16021
Lexus,67347,2022,30262
Audi,27895,2017,42085
Audi,113234,2013,26874
Audi,136377,2013,31870
Lexus,128577,2010,43933
Audi,76653,2013,13381
Audi,50232,2012,11043
Lexus,86702,2017,32462
Audi,109377,2011,27835
Audi,147382,2015,18281
Audi,138817,2018,10294
Audi,107990,2011,44175
Lexus,72937,2011,21362
Lexus,67990,2009,29627
Audi,121898,2017,27809
Lexus,116736,2013,17758
Lexus,23031,2021,31744
Audi,5659,2010,46934
Lexus,66714,2019,45257
Audi,114851,2014,28425
Lexus,139266,2020,32810
Audi,85514,2006,18292
Audi,46957,2011,39783
Audi,139264,2019,41272
Lexus,136336,2014,26295
Audi,81632,2019,10602
Audi,21028,2014,18697
Lexus,5975,2010,21396
Lexus,134896,2006,14049
Audi,109770,2016,29107
Lexus,105342,2011,20327
Lexus,73968,2016,46727
Audi,83287,2005,41493
Lexus,72742,2020,37024
Audi,52118,2005,34772
Lexus,44285,2015,12220
Lexus,124376,2008,39636
Audi,29760,2013,42667
Audi,132670,2005,46394
Audi,100319,2013,26922
Audi,54146,2021,32361
Audi,80161,2006,35580
Lexus,50957,2015,37007
Lexus,51135,2007,23614
Lexus,24994,2022,36985
Audi,102827,2020,38020
Audi,18567,2008,46972
Audi,97691,2020,32045
Lexus,89253,2012,31601
Audi,61680,2017,44676
Lexus,145148,2010,31544
Audi,107685,2009,27614
Lexus,65859,2013,31611
Lexus,98905,2013,12775
Audi,76041,2006,46162
Lexus,126508,2011,33779
Lexus,148469,2014,16736
Lexus,6420,2011,27637
Lexus,123353,2018,16848
Audi,118386,2009,48665
Audi,40523,2006,25156
Audi,123564,2015,28002
Audi,6745,2019,23650
Lexus,87631,2013,40901
Lexus,115672,2010,47779
Audi,82549,2008,38402
Audi,25704,2021,11244
Lexus,22965,2018,28244
Lexus,5680,2023,41006
Lexus,142736,2012,31301
Lexus,144593,2020,26878
Lexus,53983,2006,18338
Audi,127411,2011,21024
Lexus,107356,2012,39831
Audi,119374,2022,11337
Lexus,22044,2006,47655
Lexus,29106,2023,39358
Lexus,37150,2010,29926
Lexus,38838,2017,15665
Audi,104836,2008,47181
Lexus,137238,2012,42213
Lexus,21256,2012,41016
Audi,78530,2005,24764
Audi,134231,2017,28288
Lexus,29016,2009,37325
Audi,27642,2013,23628
Audi,37733,2022,41346
Lexus,142936,2022,18380
Audi,135254,2006,48937
Lexus,51086,2017,16866
Audi,123000,2009,14307
Lexus,143367,2005,40670
Audi,50704,2017,43257
Audi,35698,2020,36621
Audi,91649,2018,34739
Audi,99789,2008,43286
Audi,41262,2011,17092
Lexus,148365,2020,49551
Lexus,75539,2022,28163
Audi,137059,2017,32532
Lexus,141871,2013,35937
Lexus,107328,2009,31485
Lexus,73411,2005,37001
Audi,131616,2023,13539
Lexus,111017,2010,24579
Lexus,55001,2005,45764
Audi,92985,2016,12606
Lexus,89523,2013,41225
Lexus,76364,2011,29308
Lexus,67119,2017,46720
Lexus,80404,2011,41484
Lexus,118551,2005,47882
Lexus,135565,2014,40923
Lexus,108251,2018,37912
Audi,137290,2010,44438
Audi,27447,2012,23526
Audi,65639,2017,29816
Audi,43548,2007,27086
Lexus,15794,2021,30846
Audi,14560,2017,38205
Lexus,114813,2005,24052
Audi,34399,2021,34206
Lexus,12739,2005,34190
Lexus,79887,2008,44180
Audi,26215,2011,25373
Audi,58631,2021,24754
Lexus,66872,2021,25952
Lexus,93296,2016,41546
Lexus,86739,2011,11174
Lexus,52005,2006,11070
Lexus,39832,2013,39877
Audi,132943,2012,30807
Audi,117675,2017,41469
Lexus,144904,2021,49271
Audi,131663,2005,30475
Lexus,59886,2005,26124
Audi,135135,2018,47388
Audi,125355,2008,20025
Lexus,138327,2023,16752
Lexus,117254,2010,45631
Audi,13083,2014,16039
Lexus,79126,2008,17698
Lexus,140121,2015,49053
Lexus,97180,2012,36348
Lexus,133745,2008,48869
Audi,115430,2013,47939
Audi,9201,2015,23060
Lexus,75581,2020,32120
Lexus,14967,2017,39013
Lexus,54141,2016,41956
Audi,17045,2019,36523
Audi,13480,2018,41003
Lexus,77058,2011,20238
Audi,37596,2007,29103
Audi,131121,2018,13553
Lexus,134381,2022,18417
Lexus,59381,2011,24607
Audi,147422,2020,48886
Lexus,131216,2012,30916
Audi,65245,2022,18731
Audi,142818,2014,34110
Lexus,124028,2007,38090
Audi,32271,2008,20498
Audi,40849,2009,35593
Lexus,136585,2017,29481
Audi,139220,2014,20724
Audi,82341,2008,22194
Lexus,69266,2011,34092
Lexus,32763,2006,23320
Audi,9072,2008,38229
Audi,119165,2006,25607
Audi,57558,2009,12408
Lexus,112985,2010,43808
Audi,11332,2006,18082
Lexus,109785,2009,31045
Lexus,128689,2011,23901
Audi,135603,2014,46600
Lexus,52937,2006,45112
Lexus,9429,2020,27616
Lexus,142309,2011,36105
Lexus,24670,2023,46542
Lexus,74321,2010,32608
Lexus,86721,2017,10657
Audi,10940,2007,46152
Audi,97931,2014,35378
Lexus,47478,2020,12258
Lexus,97482,2011,37234
Audi,139493,2010,28228
Audi,113271,2017,33794
Audi,119475,2014,26718
Audi,126412,2012,17639
Lexus,123089,2005,49055
Lexus,126963,2010,42845
Lexus,21787,2005,29129
Lexus,6214,2018,48818
Audi,135260,2007,38612
Audi,145326,2020,13716
Audi,109486,2013,22936
Lexus,45725,2014,16048
Lexus,59680,2020,31033
Lexus,98822,2014,15753
Audi,51673,2016,36709
Audi,14762,2023,47985
Audi,121644,2023,34819
Lexus,36715,2019,37882
Lexus,41996,2020,46693
Lexus,101463,2017,17412
Audi,40919,2014,27000
Audi,72392,2007,49685
Audi,79294,2016,30294
Audi,140115,2017,48728
Audi,106620,2018,37645
Lexus,116018,2016,47676
Lexus,133317,2014,13924
Audi,50015,2007,47637
Lexus,60048,2005,19834
Audi,118761,2009,12211
Lexus,136644,2009,19316
Audi,10611,2013,10615
Lexus,116088,2020,15633
Audi,72937,2016,47928
Audi,148145,2020,13790
Lexus,102377,2013,17601
Audi,88722,2010,25492
Audi,93871,2007,19146
Audi,59313,2017,47609
Audi,66372,2020,36078
Audi,97125,2014,21055
Audi,64221,2017,46453
Audi,137255,2010,17604
Audi,51255,2018,39904
Lexus,75372,2013,13989
Lexus,98933,2012,38826
Lexus,96860,2017,15269
Lexus,18642,2021,35523
Lexus,131692,2017,44562
Lexus,27779,2016,42898
Lexus,33023,2007,11098
Audi,31184,2016,21049
Lexus,121754,2014,25723
Lexus,116350,2006,32251
